run,profile,verifier_ns,full_flow_ns
1,Full PQ (ML-KEM-768 / ML-DSA-65),98563,27915998
2,Full PQ (ML-KEM-768 / ML-DSA-65),99846,26330666
3,Full PQ (ML-KEM-768 / ML-DSA-65),97261,26195263
4,Full PQ (ML-KEM-768 / ML-DSA-65),98754,28123034
5,Full PQ (ML-KEM-768 / ML-DSA-65),105907,27633893
6,Full PQ (ML-KEM-768 / ML-DSA-65),124793,28316364
7,Full PQ (ML-KEM-768 / ML-DSA-65),98704,26650000
8,Full PQ (ML-KEM-768 / ML-DSA-65),184623,27373939
9,Full PQ (ML-KEM-768 / ML-DSA-65),183812,29069257
10,Full PQ (ML-KEM-768 / ML-DSA-65),98974,26676329
11,Full PQ (ML-KEM-768 / ML-DSA-65),98714,27575925
12,Full PQ (ML-KEM-768 / ML-DSA-65),97090,25964323
13,Full PQ (ML-KEM-768 / ML-DSA-65),99716,26506032
14,Full PQ (ML-KEM-768 / ML-DSA-65),97762,26140632
15,Full PQ (ML-KEM-768 / ML-DSA-65),97632,26596260
16,Full PQ (ML-KEM-768 / ML-DSA-65),97432,27332692
17,Full PQ (ML-KEM-768 / ML-DSA-65),122478,26206765
18,Full PQ (ML-KEM-768 / ML-DSA-65),97953,26255796
19,Full PQ (ML-KEM-768 / ML-DSA-65),98844,28059376
20,Full PQ (ML-KEM-768 / ML-DSA-65),98303,27630296
21,Full PQ (ML-KEM-768 / ML-DSA-65),98514,26238113
22,Full PQ (ML-KEM-768 / ML-DSA-65),98563,26054572
23,Full PQ (ML-KEM-768 / ML-DSA-65),100267,27224210
24,Full PQ (ML-KEM-768 / ML-DSA-65),99015,27795915
25,Full PQ (ML-KEM-768 / ML-DSA-65),98253,26601088
26,Full PQ (ML-KEM-768 / ML-DSA-65),104836,26079768
27,Full PQ (ML-KEM-768 / ML-DSA-65),98664,29089634
28,Full PQ (ML-KEM-768 / ML-DSA-65),98493,27845137
29,Full PQ (ML-KEM-768 / ML-DSA-65),99035,26030867
30,Full PQ (ML-KEM-768 / ML-DSA-65),97702,30099365
31,Full PQ (ML-KEM-768 / ML-DSA-65),99224,28447609
32,Full PQ (ML-KEM-768 / ML-DSA-65),99215,31462024
33,Full PQ (ML-KEM-768 / ML-DSA-65),99406,28079553
34,Full PQ (ML-KEM-768 / ML-DSA-65),100688,30923470
35,Full PQ (ML-KEM-768 / ML-DSA-65),100087,33938376
36,Full PQ (ML-KEM-768 / ML-DSA-65),115665,37903361
37,Full PQ (ML-KEM-768 / ML-DSA-65),99736,37085518
38,Full PQ (ML-KEM-768 / ML-DSA-65),136284,34348019
39,Full PQ (ML-KEM-768 / ML-DSA-65),99685,30609285
40,Full PQ (ML-KEM-768 / ML-DSA-65),114473,35271530
41,Full PQ (ML-KEM-768 / ML-DSA-65),117218,28613167
42,Full PQ (ML-KEM-768 / ML-DSA-65),114183,32661375
43,Full PQ (ML-KEM-768 / ML-DSA-65),98223,27500174
44,Full PQ (ML-KEM-768 / ML-DSA-65),106919,28732820
45,Full PQ (ML-KEM-768 / ML-DSA-65),103804,28123244
46,Full PQ (ML-KEM-768 / ML-DSA-65),97361,27854393
47,Full PQ (ML-KEM-768 / ML-DSA-65),163484,27540519
48,Full PQ (ML-KEM-768 / ML-DSA-65),98884,26688682
49,Full PQ (ML-KEM-768 / ML-DSA-65),102822,26078385
50,Full PQ (ML-KEM-768 / ML-DSA-65),99215,25958011
51,Full PQ (ML-KEM-768 / ML-DSA-65),109824,26552018
52,Full PQ (ML-KEM-768 / ML-DSA-65),98293,26161310
53,Full PQ (ML-KEM-768 / ML-DSA-65),98023,27692449
54,Full PQ (ML-KEM-768 / ML-DSA-65),98554,29225508
55,Full PQ (ML-KEM-768 / ML-DSA-65),98183,26617289
56,Full PQ (ML-KEM-768 / ML-DSA-65),98223,27801264
57,Full PQ (ML-KEM-768 / ML-DSA-65),147705,27708081
58,Full PQ (ML-KEM-768 / ML-DSA-65),98152,27070534
59,Full PQ (ML-KEM-768 / ML-DSA-65),98012,26843351
60,Full PQ (ML-KEM-768 / ML-DSA-65),98022,25531937
61,Full PQ (ML-KEM-768 / ML-DSA-65),98543,25926492
62,Full PQ (ML-KEM-768 / ML-DSA-65),97712,26690356
63,Full PQ (ML-KEM-768 / ML-DSA-65),104354,26549914
64,Full PQ (ML-KEM-768 / ML-DSA-65),97672,27749779
65,Full PQ (ML-KEM-768 / ML-DSA-65),97823,26576664
66,Full PQ (ML-KEM-768 / ML-DSA-65),97902,26168433
67,Full PQ (ML-KEM-768 / ML-DSA-65),99085,26480384
68,Full PQ (ML-KEM-768 / ML-DSA-65),97251,27986489
69,Full PQ (ML-KEM-768 / ML-DSA-65),98253,26585410
70,Full PQ (ML-KEM-768 / ML-DSA-65),97612,25798655
71,Full PQ (ML-KEM-768 / ML-DSA-65),99505,26664487
72,Full PQ (ML-KEM-768 / ML-DSA-65),97392,27205195
73,Full PQ (ML-KEM-768 / ML-DSA-65),98092,27587994
74,Full PQ (ML-KEM-768 / ML-DSA-65),96910,26346194
75,Full PQ (ML-KEM-768 / ML-DSA-65),97973,26115766
76,Full PQ (ML-KEM-768 / ML-DSA-65),97782,26933669
77,Full PQ (ML-KEM-768 / ML-DSA-65),99816,28983106
78,Full PQ (ML-KEM-768 / ML-DSA-65),100056,26654929
79,Full PQ (ML-KEM-768 / ML-DSA-65),97672,27089890
80,Full PQ (ML-KEM-768 / ML-DSA-65),98924,29102849
81,Full PQ (ML-KEM-768 / ML-DSA-65),100828,28400431
82,Full PQ (ML-KEM-768 / ML-DSA-65),98263,30022052
83,Full PQ (ML-KEM-768 / ML-DSA-65),105958,28390092
84,Full PQ (ML-KEM-768 / ML-DSA-65),101388,28752256
85,Full PQ (ML-KEM-768 / ML-DSA-65),97331,26461079
