run,profile,phase,sequence,command_code,response_code,request_bytes,response_bytes,rtt_ns
1,Full PQ (ML-KEM-768 / ML-DSA-65),EK_CREATE,5,0x00000131,0x00000000,89,1392,1135244
1,Full PQ (ML-KEM-768 / ML-DSA-65),AK_CREATE,6,0x00000131,0x00000000,88,2127,1079180
1,Full PQ (ML-KEM-768 / ML-DSA-65),CREDENTIAL_RANDOM,7,0x0000017b,0x00000000,12,44,1030980
1,Full PQ (ML-KEM-768 / ML-DSA-65),MAKE_CREDENTIAL,8,0x00000168,0x00000000,84,1170,1108675
1,Full PQ (ML-KEM-768 / ML-DSA-65),ACTIVATE_AUTH,9,0x00000176,0x00000000,59,48,1275386
1,Full PQ (ML-KEM-768 / ML-DSA-65),ACTIVATE_AUTH,10,0x00000151,0x00000000,41,29,1207352
1,Full PQ (ML-KEM-768 / ML-DSA-65),ACTIVATE_CREDENTIAL,11,0x00000147,0x00000000,1296,122,1234085
1,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,12,0x0000017e,0x00000000,20,62,1085412
1,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,13,0x0000017e,0x00000000,20,62,1007887
1,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,14,0x0000017e,0x00000000,20,62,1010923
1,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,15,0x0000017e,0x00000000,20,62,1214993
1,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,16,0x0000017e,0x00000000,20,62,1166102
1,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,17,0x0000017e,0x00000000,20,62,1158017
1,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,18,0x0000017e,0x00000000,20,62,1065835
1,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,19,0x0000017e,0x00000000,20,62,976990
1,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,20,0x0000017e,0x00000000,20,62,1069111
1,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,21,0x0000017e,0x00000000,20,62,1064041
1,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,22,0x0000017e,0x00000000,20,62,1057019
1,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,23,0x0000017e,0x00000000,20,62,1010862
1,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,24,0x0000017e,0x00000000,20,62,1080964
1,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,25,0x0000017e,0x00000000,20,62,980696
1,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,26,0x0000017e,0x00000000,20,62,1127410
1,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,27,0x0000017e,0x00000000,20,62,1146885
1,Full PQ (ML-KEM-768 / ML-DSA-65),NONCE_RANDOM,28,0x0000017b,0x00000000,12,44,990065
1,Full PQ (ML-KEM-768 / ML-DSA-65),QUOTE,29,0x00000158,0x00000000,105,3479,1414064
2,Full PQ (ML-KEM-768 / ML-DSA-65),EK_CREATE,37,0x00000131,0x00000000,89,1392,1024949
2,Full PQ (ML-KEM-768 / ML-DSA-65),AK_CREATE,38,0x00000131,0x00000000,88,2127,1054715
2,Full PQ (ML-KEM-768 / ML-DSA-65),CREDENTIAL_RANDOM,39,0x0000017b,0x00000000,12,44,1145454
2,Full PQ (ML-KEM-768 / ML-DSA-65),MAKE_CREDENTIAL,40,0x00000168,0x00000000,84,1170,1053773
2,Full PQ (ML-KEM-768 / ML-DSA-65),ACTIVATE_AUTH,41,0x00000176,0x00000000,59,48,1016724
2,Full PQ (ML-KEM-768 / ML-DSA-65),ACTIVATE_AUTH,42,0x00000151,0x00000000,41,29,972371
2,Full PQ (ML-KEM-768 / ML-DSA-65),ACTIVATE_CREDENTIAL,43,0x00000147,0x00000000,1296,122,1117341
2,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,44,0x0000017e,0x00000000,20,62,1011284
2,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,45,0x0000017e,0x00000000,20,62,975316
2,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,46,0x0000017e,0x00000000,20,62,939811
2,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,47,0x0000017e,0x00000000,20,62,1027694
2,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,48,0x0000017e,0x00000000,20,62,1005633
2,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,49,0x0000017e,0x00000000,20,62,958946
2,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,50,0x0000017e,0x00000000,20,62,960830
2,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,51,0x0000017e,0x00000000,20,62,1002588
2,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,52,0x0000017e,0x00000000,20,62,986868
2,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,53,0x0000017e,0x00000000,20,62,971289
2,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,54,0x0000017e,0x00000000,20,62,948447
2,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,55,0x0000017e,0x00000000,20,62,1078549
2,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,56,0x0000017e,0x00000000,20,62,1170941
2,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,57,0x0000017e,0x00000000,20,62,1144992
2,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,58,0x0000017e,0x00000000,20,62,1022665
2,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,59,0x0000017e,0x00000000,20,62,1114195
2,Full PQ (ML-KEM-768 / ML-DSA-65),NONCE_RANDOM,60,0x0000017b,0x00000000,12,44,1007977
2,Full PQ (ML-KEM-768 / ML-DSA-65),QUOTE,61,0x00000158,0x00000000,105,3479,1418442
3,Full PQ (ML-KEM-768 / ML-DSA-65),EK_CREATE,69,0x00000131,0x00000000,89,1392,1048122
3,Full PQ (ML-KEM-768 / ML-DSA-65),AK_CREATE,70,0x00000131,0x00000000,88,2127,999161
3,Full PQ (ML-KEM-768 / ML-DSA-65),CREDENTIAL_RANDOM,71,0x0000017b,0x00000000,12,44,1098156
3,Full PQ (ML-KEM-768 / ML-DSA-65),MAKE_CREDENTIAL,72,0x00000168,0x00000000,84,1170,1061958
3,Full PQ (ML-KEM-768 / ML-DSA-65),ACTIVATE_AUTH,73,0x00000176,0x00000000,59,48,939219
3,Full PQ (ML-KEM-768 / ML-DSA-65),ACTIVATE_AUTH,74,0x00000151,0x00000000,41,29,972301
3,Full PQ (ML-KEM-768 / ML-DSA-65),ACTIVATE_CREDENTIAL,75,0x00000147,0x00000000,1296,122,1168456
3,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,76,0x0000017e,0x00000000,20,62,928460
3,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,77,0x0000017e,0x00000000,20,62,1045287
3,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,78,0x0000017e,0x00000000,20,62,974986
3,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,79,0x0000017e,0x00000000,20,62,996827
3,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,80,0x0000017e,0x00000000,20,62,988331
3,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,81,0x0000017e,0x00000000,20,62,1144882
3,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,82,0x0000017e,0x00000000,20,62,1079871
3,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,83,0x0000017e,0x00000000,20,62,1008057
3,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,84,0x0000017e,0x00000000,20,62,945321
3,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,85,0x0000017e,0x00000000,20,62,1021042
3,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,86,0x0000017e,0x00000000,20,62,1040768
3,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,87,0x0000017e,0x00000000,20,62,999713
3,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,88,0x0000017e,0x00000000,20,62,990194
3,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,89,0x0000017e,0x00000000,20,62,1046880
3,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,90,0x0000017e,0x00000000,20,62,1024939
3,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,91,0x0000017e,0x00000000,20,62,1028205
3,Full PQ (ML-KEM-768 / ML-DSA-65),NONCE_RANDOM,92,0x0000017b,0x00000000,12,44,1027043
3,Full PQ (ML-KEM-768 / ML-DSA-65),QUOTE,93,0x00000158,0x00000000,105,3479,1416118
4,Full PQ (ML-KEM-768 / ML-DSA-65),EK_CREATE,101,0x00000131,0x00000000,89,1392,983793
4,Full PQ (ML-KEM-768 / ML-DSA-65),AK_CREATE,102,0x00000131,0x00000000,88,2127,1179317
4,Full PQ (ML-KEM-768 / ML-DSA-65),CREDENTIAL_RANDOM,103,0x0000017b,0x00000000,12,44,1039777
4,Full PQ (ML-KEM-768 / ML-DSA-65),MAKE_CREDENTIAL,104,0x00000168,0x00000000,84,1170,1018747
4,Full PQ (ML-KEM-768 / ML-DSA-65),ACTIVATE_AUTH,105,0x00000176,0x00000000,59,48,1031805
4,Full PQ (ML-KEM-768 / ML-DSA-65),ACTIVATE_AUTH,106,0x00000151,0x00000000,41,29,1206404
4,Full PQ (ML-KEM-768 / ML-DSA-65),ACTIVATE_CREDENTIAL,107,0x00000147,0x00000000,1296,122,1060946
4,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,108,0x0000017e,0x00000000,20,62,1005934
4,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,109,0x0000017e,0x00000000,20,62,1010362
4,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,110,0x0000017e,0x00000000,20,62,994302
4,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,111,0x0000017e,0x00000000,20,62,1047110
4,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,112,0x0000017e,0x00000000,20,62,978863
4,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,113,0x0000017e,0x00000000,20,62,1022093
4,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,114,0x0000017e,0x00000000,20,62,1003489
4,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,115,0x0000017e,0x00000000,20,62,1007477
4,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,116,0x0000017e,0x00000000,20,62,999462
4,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,117,0x0000017e,0x00000000,20,62,1042872
4,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,118,0x0000017e,0x00000000,20,62,995595
4,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,119,0x0000017e,0x00000000,20,62,972521
4,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,120,0x0000017e,0x00000000,20,62,1016133
4,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,121,0x0000017e,0x00000000,20,62,1309202
4,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,122,0x0000017e,0x00000000,20,62,1812953
4,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,123,0x0000017e,0x00000000,20,62,1444842
4,Full PQ (ML-KEM-768 / ML-DSA-65),NONCE_RANDOM,124,0x0000017b,0x00000000,12,44,1229459
4,Full PQ (ML-KEM-768 / ML-DSA-65),QUOTE,125,0x00000158,0x00000000,105,3479,1495806
5,Full PQ (ML-KEM-768 / ML-DSA-65),EK_CREATE,133,0x00000131,0x00000000,89,1392,1029788
5,Full PQ (ML-KEM-768 / ML-DSA-65),AK_CREATE,134,0x00000131,0x00000000,88,2127,1072077
5,Full PQ (ML-KEM-768 / ML-DSA-65),CREDENTIAL_RANDOM,135,0x0000017b,0x00000000,12,44,1113675
5,Full PQ (ML-KEM-768 / ML-DSA-65),MAKE_CREDENTIAL,136,0x00000168,0x00000000,84,1170,1187292
5,Full PQ (ML-KEM-768 / ML-DSA-65),ACTIVATE_AUTH,137,0x00000176,0x00000000,59,48,1014950
5,Full PQ (ML-KEM-768 / ML-DSA-65),ACTIVATE_AUTH,138,0x00000151,0x00000000,41,29,1109446
5,Full PQ (ML-KEM-768 / ML-DSA-65),ACTIVATE_CREDENTIAL,139,0x00000147,0x00000000,1296,122,1544017
5,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,140,0x0000017e,0x00000000,20,62,1090651
5,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,141,0x0000017e,0x00000000,20,62,1046169
5,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,142,0x0000017e,0x00000000,20,62,1063521
5,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,143,0x0000017e,0x00000000,20,62,1190718
5,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,144,0x0000017e,0x00000000,20,62,1054384
5,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,145,0x0000017e,0x00000000,20,62,1065635
5,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,146,0x0000017e,0x00000000,20,62,1065455
5,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,147,0x0000017e,0x00000000,20,62,1024237
5,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,148,0x0000017e,0x00000000,20,62,1025343
5,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,149,0x0000017e,0x00000000,20,62,1042669
5,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,150,0x0000017e,0x00000000,20,62,990345
5,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,151,0x0000017e,0x00000000,20,62,985075
5,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,152,0x0000017e,0x00000000,20,62,1013267
5,Full PQ (ML-KEM-768 / ML-DSA-65),PCR_READ,153,0x0000017e,0x00000000,20,62,1060947
