run,profile,verifier_ns,full_flow_ns
1,Classical RSA,55163,42917872
2,Classical RSA,63508,44682920
3,Classical RSA,72275,45875722
4,Classical RSA,55393,56598345
5,Classical RSA,77815,45102181
6,Classical RSA,74158,45020839
7,Classical RSA,55964,42816122
8,Classical RSA,80109,43018940
9,Classical RSA,55704,39498392
10,Classical RSA,62356,51801910
11,Classical RSA,55834,42174156
12,Classical RSA,69700,38753905
13,Classical RSA,80440,40181284
14,Classical RSA,53930,40952100
15,Classical RSA,72715,41644541
16,Classical RSA,74980,41177250
17,Classical RSA,68728,45187900
18,Classical RSA,67946,46197240
19,Classical RSA,56846,43599301
20,Classical RSA,56536,39499622
21,Classical RSA,56525,41582154
22,Classical RSA,58990,37439645
23,Classical RSA,55373,39725606
24,Classical RSA,86311,42772911
25,Classical RSA,57958,38125756
26,Classical RSA,81652,36530451
27,Classical RSA,78556,37044870
28,Classical RSA,60523,37354489
29,Classical RSA,54863,37156491
30,Classical RSA,53730,36560882
31,Classical RSA,79377,40228613
32,Classical RSA,55493,39314918
33,Classical RSA,65532,37535336
34,Classical RSA,63970,39814332
35,Classical RSA,92563,38402882
36,Classical RSA,64290,36620412
37,Classical RSA,66735,36578153
38,Classical RSA,69109,40062323
39,Classical RSA,56585,37635973
40,Classical RSA,79007,38953327
41,Classical RSA,53790,38012665
42,Classical RSA,56495,39999095
43,Classical RSA,54391,39507857
44,Classical RSA,57618,38513889
45,Classical RSA,66113,41941253
46,Classical RSA,53770,37823533
47,Classical RSA,54412,38537844
48,Classical RSA,54030,38383777
49,Classical RSA,54542,39072950
50,Classical RSA,55293,37977736
51,Classical RSA,101439,39317371
52,Classical RSA,72285,41281464
53,Classical RSA,62707,38056907
54,Classical RSA,56005,38122700
55,Classical RSA,71513,38078444
56,Classical RSA,79468,37223957
57,Classical RSA,70632,36546054
58,Classical RSA,66724,38817164
59,Classical RSA,83356,38980979
60,Classical RSA,53980,38199553
61,Classical RSA,59992,37827290
62,Classical RSA,54160,39676665
63,Classical RSA,83135,38959306
64,Classical RSA,62035,36950592
65,Classical RSA,55704,40616916
66,Classical RSA,98553,40473930
67,Classical RSA,66844,42853672
68,Classical RSA,77194,38387643
69,Classical RSA,54091,38541810
70,Classical RSA,82844,39366640
71,Classical RSA,62887,37633779
72,Classical RSA,104725,42505424
73,Classical RSA,69579,42898526
74,Classical RSA,67165,48062765
75,Classical RSA,72054,43951365
76,Classical RSA,55884,44826167
77,Classical RSA,70120,41090138
78,Classical RSA,57177,42181621
79,Classical RSA,98474,40272204
80,Classical RSA,80970,41746540
81,Classical RSA,77986,38402775
82,Classical RSA,81122,52049021
83,Classical RSA,80289,44160988
84,Classical RSA,63469,37992989
85,Classical RSA,69489,36152310
86,Classical RSA,60803,40715179
87,Classical RSA,57627,38434902
88,Classical RSA,65692,38592380
89,Classical RSA,54151,40682979
90,Classical RSA,66254,38565285
91,Classical RSA,55794,39164130
92,Classical RSA,54091,39616262
93,Classical RSA,64420,39983606
94,Classical RSA,55584,37994251
95,Classical RSA,56015,37467310
96,Classical RSA,101338,39837151
97,Classical RSA,82563,38833274
98,Classical RSA,55814,36998947
99,Classical RSA,55103,37774842
100,Classical RSA,69730,41050267
101,Classical RSA,70271,41783516
102,Classical RSA,71914,49770309
103,Classical RSA,57167,39538370
104,Classical RSA,60302,38288549
105,Classical RSA,54692,37518775
106,Classical RSA,63127,40352543
107,Classical RSA,54422,36449498
108,Classical RSA,74238,41265205
109,Classical RSA,77033,42722047
110,Classical RSA,81401,38855344
111,Classical RSA,58098,37481601
112,Classical RSA,54833,37078626
113,Classical RSA,53159,39414405
114,Classical RSA,52909,36333046
115,Classical RSA,54671,36608605
116,Classical RSA,59090,38386031
117,Classical RSA,53179,35007498
118,Classical RSA,54992,36035883
119,Classical RSA,54672,41444713
120,Classical RSA,61875,36551319
