run,profile,phase,sequence,command_code,response_code,request_bytes,response_bytes,rtt_ns
1,Classical RSA,EK_CREATE,5,0x00000131,0x00000000,355,474,1218118
1,Classical RSA,AK_CREATE,6,0x00000131,0x00000000,353,440,1236574
1,Classical RSA,CREDENTIAL_RANDOM,7,0x0000017b,0x00000000,12,44,1406830
1,Classical RSA,MAKE_CREDENTIAL,8,0x00000168,0x00000000,84,338,1371234
1,Classical RSA,ACTIVATE_AUTH,9,0x00000176,0x00000000,59,48,1309550
1,Classical RSA,ACTIVATE_AUTH,10,0x00000151,0x00000000,41,29,1282649
1,Classical RSA,ACTIVATE_CREDENTIAL,11,0x00000147,0x00000000,464,122,5233549
1,Classical RSA,PCR_READ,12,0x0000017e,0x00000000,20,62,1582448
1,Classical RSA,PCR_READ,13,0x0000017e,0x00000000,20,62,1468305
1,Classical RSA,PCR_READ,14,0x0000017e,0x00000000,20,62,1474676
1,Classical RSA,PCR_READ,15,0x0000017e,0x00000000,20,62,1560988
1,Classical RSA,PCR_READ,16,0x0000017e,0x00000000,20,62,1469467
1,Classical RSA,PCR_READ,17,0x0000017e,0x00000000,20,62,1531773
1,Classical RSA,PCR_READ,18,0x0000017e,0x00000000,20,62,1713983
1,Classical RSA,PCR_READ,19,0x0000017e,0x00000000,20,62,1580377
1,Classical RSA,PCR_READ,20,0x0000017e,0x00000000,20,62,1398552
1,Classical RSA,PCR_READ,21,0x0000017e,0x00000000,20,62,1451294
1,Classical RSA,PCR_READ,22,0x0000017e,0x00000000,20,62,1366735
1,Classical RSA,PCR_READ,23,0x0000017e,0x00000000,20,62,1348773
1,Classical RSA,PCR_READ,24,0x0000017e,0x00000000,20,62,1366886
1,Classical RSA,PCR_READ,25,0x0000017e,0x00000000,20,62,1245871
1,Classical RSA,PCR_READ,26,0x0000017e,0x00000000,20,62,1431767
1,Classical RSA,PCR_READ,27,0x0000017e,0x00000000,20,62,1329329
1,Classical RSA,NONCE_RANDOM,28,0x0000017b,0x00000000,12,44,1325476
1,Classical RSA,QUOTE,29,0x00000158,0x00000000,107,428,4985506
2,Classical RSA,EK_CREATE,37,0x00000131,0x00000000,355,474,1494815
2,Classical RSA,AK_CREATE,38,0x00000131,0x00000000,353,440,1329046
2,Classical RSA,CREDENTIAL_RANDOM,39,0x0000017b,0x00000000,12,44,1609087
2,Classical RSA,MAKE_CREDENTIAL,40,0x00000168,0x00000000,84,338,1699308
2,Classical RSA,ACTIVATE_AUTH,41,0x00000176,0x00000000,59,48,1468552
2,Classical RSA,ACTIVATE_AUTH,42,0x00000151,0x00000000,41,29,1378528
2,Classical RSA,ACTIVATE_CREDENTIAL,43,0x00000147,0x00000000,464,122,4900318
2,Classical RSA,PCR_READ,44,0x0000017e,0x00000000,20,62,1855556
2,Classical RSA,PCR_READ,45,0x0000017e,0x00000000,20,62,1604308
2,Classical RSA,PCR_READ,46,0x0000017e,0x00000000,20,62,1544747
2,Classical RSA,PCR_READ,47,0x0000017e,0x00000000,20,62,1392845
2,Classical RSA,PCR_READ,48,0x0000017e,0x00000000,20,62,1558338
2,Classical RSA,PCR_READ,49,0x0000017e,0x00000000,20,62,1481845
2,Classical RSA,PCR_READ,50,0x0000017e,0x00000000,20,62,1472924
2,Classical RSA,PCR_READ,51,0x0000017e,0x00000000,20,62,1397423
2,Classical RSA,PCR_READ,52,0x0000017e,0x00000000,20,62,1391312
2,Classical RSA,PCR_READ,53,0x0000017e,0x00000000,20,62,1515393
2,Classical RSA,PCR_READ,54,0x0000017e,0x00000000,20,62,1644714
2,Classical RSA,PCR_READ,55,0x0000017e,0x00000000,20,62,1399837
2,Classical RSA,PCR_READ,56,0x0000017e,0x00000000,20,62,1458096
2,Classical RSA,PCR_READ,57,0x0000017e,0x00000000,20,62,1406409
